127.0.0.1, 2022-12-14 23:47:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:48:07, GET, /admin/default/site, HTTP/1.1, 200, 0.024956
127.0.0.1, 2022-12-14 23:48:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/default/index, HTTP/1.1, 200, 0.114881
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.015987
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.028923
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.050863
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.053855
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.056848
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.049867
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.097738
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.020945
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.006982
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.004017
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.010994
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.010994
127.0.0.1, 2022-12-14 23:48:11, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001995
127.0.0.1, 2022-12-14 23:48:12, GET, /admin/default/site, HTTP/1.1, 200, 0.025931
127.0.0.1, 2022-12-14 23:48:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:48:12, GET, /pymedisenm/default/index, HTTP/1.1, 500, 0.022756
127.0.0.1, 2022-12-14 23:48:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:48:15, GET, /admin/default/site, HTTP/1.1, 200, 0.040888
